,SenseDemultiplex,SenseStripped,AntiSenseDemultiplex,AntSenseStripped
EUK.BLANK-1.S,453,0,467,1
EUK.BLANK-2.S,151,134,150,139
EUK.BLANK-3.S,68,33,59,19
EUK.BLANK-4.S,671,596,678,586
EUK.BLANK-5.S,13468,1,12917,1
EUK.BLANK-6.S,11,0,9,0
EUK.BLANK-7.S,36318,95,33329,93
EUK.BLANK-8.S,37177,7,34246,7
EUK.ExrNTC-1.S,120,115,115,107
EUK.ExrNTC-2.S,5,0,2,0
EUK.ExrNTC-3.S,3404,59,3087,50
EUK.ExrNTC-4.S,15,1,17,1
EUK.ExrNTC-5.S,391,4,290,0
EUK.ExrNTC-6.S,204,3,172,4
EUK.ExrNTC-7.S,565,151,521,141
EUK.ExrNTC-8.S,270,3,261,1
EUK.ExrPTC-1.S,43731,42230,43050,41176
EUK.ExrPTC-2.S,70722,67959,69993,66486
EUK.ExrPTC-3.S,263405,255549,261205,251771
EUK.ExrPTC-4.S,38365,37088,37255,35857
EUK.ExrPTC-5.S,53318,51208,52068,49719
EUK.ExrPTC-6.S,64166,61531,63134,60002
EUK.ExrPTC-7.S,97819,92989,95828,90197
EUK.ExrPTC-8.S,110530,106881,108823,104352
EUK.LH-MD9-0000-1.S,71030,69598,70110,67899
EUK.LH-MD9-0000-2.S,83169,81256,81563,78968
EUK.LH-MD9-0000-3.S,51221,49953,51227,49546
EUK.LH-MD9-0000-4.S,140774,137394,141507,137033
EUK.LH-MD9-0000-5.S,120087,117220,116312,112992
EUK.LH-MD9-0000-6.S,63419,61591,63334,60966
EUK.LH-MD9-0000-7.S,113523,110418,112515,108359
EUK.LH-MD9-0000-8.S,106615,104006,104107,101006
EUK.LH-MD9-0250-1.S,87351,85403,85823,82809
EUK.LH-MD9-0250-2.S,33699,32909,33112,32122
EUK.LH-MD9-0250-3.S,62458,61160,61855,60048
EUK.LH-MD9-0250-4.S,61911,60947,61329,59665
EUK.LH-MD9-0250-5.S,55768,54667,55647,54206
EUK.LH-MD9-0250-6.S,91500,89225,91368,87893
EUK.LH-MD9-0250-7.S,37849,36782,37475,36082
EUK.LH-MD9-0250-8.S,75477,73154,74424,71730
EUK.LH-MD9-0450-1.S,14318,13837,14297,13787
EUK.LH-MD9-0450-2.S,53213,51988,51805,50149
EUK.LH-MD9-0450-3.S,62035,60470,62113,60148
EUK.LH-MD9-0450-4.S,43443,42402,42095,40919
EUK.LH-MD9-0450-5.S,150922,146437,150009,144259
EUK.LH-MD9-0450-6.S,18823,18260,18804,18147
EUK.LH-MD9-0450-7.S,75956,70935,75491,69890
EUK.LH-MD9-0450-8.S,49392,48263,48738,47157
EUK.LH-MD9-0700-1.S,69810,67782,68120,65674
EUK.LH-MD9-0700-2.S,78295,76294,76053,73620
EUK.LH-MD9-0700-3.S,77059,75426,75476,73137
EUK.LH-MD9-0700-4.S,75316,73796,74238,72376
EUK.LH-MD9-0700-5.S,31605,30898,31525,30679
EUK.LH-MD9-0700-6.S,60707,58976,58866,56876
EUK.LH-MD9-0700-7.S,102126,98301,100106,95971
EUK.LH-MD9-0700-8.S,96725,94220,96044,92567
EUK.LH-MD9-0900-1.S,10649,10370,10421,10051
EUK.LH-MD9-0900-2.S,57441,56019,56022,54257
EUK.LH-MD9-0900-3.S,29792,29108,30137,28953
EUK.LH-MD9-0900-4.S,22153,20474,22062,20332
EUK.LH-MD9-0900-5.S,99227,94459,98291,93034
EUK.LH-MD9-0900-6.S,7000,6613,7033,6619
EUK.LH-MD9-0900-7.S,46406,45105,45940,44330
EUK.LH-MD9-0900-8.S,61001,58854,60915,58214
EUK.LH-MD9-1150-1.S,37850,36826,37333,35985
EUK.LH-MD9-1150-2.S,30649,29830,29879,28534
EUK.LH-MD9-1150-3.S,20523,19844,20090,19319
EUK.LH-MD9-1150-4.S,32626,31786,32248,31363
EUK.LH-MD9-1150-5.S,77991,75715,78896,75729
EUK.LH-MD9-1150-6.S,50926,45250,50092,44578
EUK.LH-MD9-1150-7.S,26575,25695,26789,25597
EUK.LH-MD9-1150-8.S,24582,23535,24354,23120
EUK.NM-MD9-1849-1.S,73363,68839,73229,67470
EUK.NM-MD9-1849-2.S,6191,5660,5978,5419
EUK.NM-MD9-1849-3.S,18090,16581,17882,16230
EUK.NM-MD9-1849-4.S,16825,14969,16479,14418
EUK.NM-MD9-1849-5.S,22204,20435,21727,19841
EUK.NM-MD9-1849-6.S,77893,70984,76569,69113
EUK.NM-MD9-1849-7.S,14605,13334,14341,13022
EUK.NM-MD9-1849-8.S,28794,26055,28731,25789
EUK.NM-MD9-2050-1.S,35784,34923,35009,34021
EUK.NM-MD9-2050-2.S,8223,7900,8283,7888
EUK.NM-MD9-2050-3.S,6236,6053,6013,5778
EUK.NM-MD9-2050-4.S,18871,18266,18860,18086
EUK.NM-MD9-2050-5.S,7735,6853,7545,6662
EUK.NM-MD9-2050-6.S,27105,23103,26857,22838
EUK.NM-MD9-2050-7.S,8601,8229,8443,8012
EUK.NM-MD9-2050-8.S,11742,7535,11586,7561
EUK.NM-MD9-2250-1.S,20928,20317,20553,19775
EUK.NM-MD9-2250-2.S,41501,40080,41129,39458
EUK.NM-MD9-2250-3.S,37787,36014,37048,35105
EUK.NM-MD9-2250-4.S,41821,20019,41776,19922
EUK.NM-MD9-2250-5.S,44348,40899,43711,40200
EUK.NM-MD9-2250-6.S,41620,39126,40594,37851
EUK.NM-MD9-2250-7.S,51577,49570,51023,48751
EUK.NM-MD9-2250-8.S,51424,46035,50366,44855
EUK.NM-MD9-2450-1.S,12607,12083,12549,11938
EUK.NM-MD9-2450-2.S,10388,10161,10126,9785
EUK.NM-MD9-2450-3.S,7578,7274,7409,7017
EUK.NM-MD9-2450-4.S,22051,21556,21465,20850
EUK.NM-MD9-2450-5.S,13264,12458,12806,12012
EUK.NM-MD9-2450-6.S,28558,25640,27976,25069
EUK.NM-MD9-2450-7.S,10745,10384,10515,10026
EUK.NM-MD9-2450-8.S,14771,11506,14720,11420
EUK.NM-MD9-2650-1.S,174411,7724,160204,7596
EUK.NM-MD9-2650-2.S,10131,9770,9802,9339
EUK.NM-MD9-2650-3.S,17407,16961,17455,16816
EUK.NM-MD9-2650-4.S,4154,4054,4033,3908
EUK.NM-MD9-2650-5.S,61939,27829,59902,27593
EUK.NM-MD9-2650-6.S,16221,15450,16148,15256
EUK.NM-MD9-2650-7.S,17469,16765,17303,16525
EUK.NM-MD9-2650-8.S,27715,22704,27629,22721
EUK.TubNTC-1.S,119,68,114,64
EUK.TubNTC-2.S,11,11,11,10
EUK.TubNTC-3.S,2919,45,2685,36
EUK.TubNTC-4.S,5528,50,5209,51
EUK.TubNTC-5.S,17194,57,16752,63
EUK.TubNTC-6.S,2358,1,2386,0
EUK.TubNTC-7.S,6,0,8,0
EUK.TubNTC-8.S,9,0,9,0
Pool01-RIZ-01.S,0,0,0,0
Pool01-RIZ-02.S,0,0,0,0
Pool01-RIZ-03.S,0,0,0,0
Pool01-RIZ-04.S,0,0,0,0
Pool01-RIZ-05.S,0,0,0,0
