SampleID,TotalRawReads,PostFastP
LV7001884392-LibPTC22033101-LibPTC,26,11
LV7001884453-LV7000630780-NM-MD9-2650,427392816,180496705
LV7001884461-ExrNTC22033101-ExrNTC,73608,9478
LV7001884464-LV7001305844-NM-MD9-2250,464702052,182128319
LV7001884467-LV7001305788-LH-MD9-1150,512024944,187741224
LV7001884468-ExrPTC22033101-ExrPTC,10,4
LV7001884478-LV7000630892-LH-MD9-0000,512615524,187114398
LV7001884479-LV7001305748-LH-MD9-0900,414543928,156943708
LV7001884488-LV7001305932-LH-MD9-0700,496595408,198212624
LV7001884489-LV7001305884-LH-MD9-0450,363961854,137572056
LV7001884490-LV7001305740-NM-MD9-2450,355141950,153333960
LV7001884493-LibNTC22033101-LibNTC,24248,366
LV7001884495-LV7001305796-LH-MD9-0250,407123872,143669139
LV7001884496-LV7001305836-BLANK,53564,5336
LV7001884498-LV7000630724-NM-MD9-1849,534125092,229139093
LV7001884499-LV7000630828-NM-MD9-2050,492232374,212534652
