"","EUK.LH.MD9.0000.1","EUK.LH.MD9.0000.2","EUK.LH.MD9.0000.3","EUK.LH.MD9.0000.4","EUK.LH.MD9.0000.5","EUK.LH.MD9.0000.6","EUK.LH.MD9.0000.7","EUK.LH.MD9.0000.8","EUK.LH.MD9.0250.1","EUK.LH.MD9.0250.2","EUK.LH.MD9.0250.3","EUK.LH.MD9.0250.4","EUK.LH.MD9.0250.5","EUK.LH.MD9.0250.6","EUK.LH.MD9.0250.7","EUK.LH.MD9.0250.8","EUK.LH.MD9.0450.1","EUK.LH.MD9.0450.2","EUK.LH.MD9.0450.3","EUK.LH.MD9.0450.4","EUK.LH.MD9.0450.5","EUK.LH.MD9.0450.6","EUK.LH.MD9.0450.7","EUK.LH.MD9.0450.8","EUK.LH.MD9.0700.1","EUK.LH.MD9.0700.2","EUK.LH.MD9.0700.3","EUK.LH.MD9.0700.4","EUK.LH.MD9.0700.5","EUK.LH.MD9.0700.6","EUK.LH.MD9.0700.7","EUK.LH.MD9.0700.8","EUK.LH.MD9.0900.1","EUK.LH.MD9.0900.2","EUK.LH.MD9.0900.3","EUK.LH.MD9.0900.4","EUK.LH.MD9.0900.5","EUK.LH.MD9.0900.6","EUK.LH.MD9.0900.7","EUK.LH.MD9.0900.8","EUK.LH.MD9.1150.1","EUK.LH.MD9.1150.2","EUK.LH.MD9.1150.3","EUK.LH.MD9.1150.4","EUK.LH.MD9.1150.5","EUK.LH.MD9.1150.6","EUK.LH.MD9.1150.7","EUK.LH.MD9.1150.8","EUK.NM.MD9.1849.1","EUK.NM.MD9.1849.2","EUK.NM.MD9.1849.3","EUK.NM.MD9.1849.4","EUK.NM.MD9.1849.5","EUK.NM.MD9.1849.6","EUK.NM.MD9.1849.7","EUK.NM.MD9.1849.8","EUK.NM.MD9.2050.1","EUK.NM.MD9.2050.2","EUK.NM.MD9.2050.3","EUK.NM.MD9.2050.4","EUK.NM.MD9.2050.5","EUK.NM.MD9.2050.6","EUK.NM.MD9.2050.7","EUK.NM.MD9.2050.8","EUK.NM.MD9.2250.1","EUK.NM.MD9.2250.2","EUK.NM.MD9.2250.3","EUK.NM.MD9.2250.4","EUK.NM.MD9.2250.5","EUK.NM.MD9.2250.6","EUK.NM.MD9.2250.7","EUK.NM.MD9.2250.8","EUK.NM.MD9.2450.1","EUK.NM.MD9.2450.2","EUK.NM.MD9.2450.3","EUK.NM.MD9.2450.4","EUK.NM.MD9.2450.5","EUK.NM.MD9.2450.6","EUK.NM.MD9.2450.7","EUK.NM.MD9.2450.8","EUK.NM.MD9.2650.1","EUK.NM.MD9.2650.2","EUK.NM.MD9.2650.3","EUK.NM.MD9.2650.4","EUK.NM.MD9.2650.5","EUK.NM.MD9.2650.6","EUK.NM.MD9.2650.7","EUK.NM.MD9.2650.8"
"ASV_1",0,0,7.98344175044352,0,0,1.11856823266219,0,0,0,0,0,0,0,0,0,0,1.35685210312076,0,0,0,0.314070351758794,0,0.527148128624143,0,0.518134715025907,0,0,0,0,0,0.4510599909788,0.946521533364884,0,1.51457781143506,0,13.0853994490358,3.17292437863564,7.40740740740741,0.838222967309304,1.43575017946877,4.81000481000481,1.49105367793241,3.51288056206089,1.76678445229682,2.93350717079531,2.44200244200244,2.27790432801822,5.42593597395551,2711.70084439083,1929.92424242424,1812.44598098531,2108.34813499112,1581.98614318707,2479.04191616766,1332.74179236912,2605.09090909091,19702.7534418023,14636.6972477064,12993.1350114416,19014.7368421053,11766.9322709163,15349.0712074303,13474.8201438849,10951.9071310116,18635.4748603352,22552.1008403361,24402.6915113872,23454.5454545455,20946.8779123952,25992.7536231884,28537.4264087468,31700.3188097768,12979.1395045632,10331.4917127072,10420.4152249135,16891.5770609319,11569.0104166667,16907.3055773763,7545.96412556054,14789.8550724638,941.877794336811,427.11234911792,1414.95992876224,747.433264887064,1690.28711056811,2710.28971028971,362.349239643419,1070.96774193548
"ASV_2",1798.41089670829,2517.04656146503,2738.61620342992,2507.71462481867,2008.91445003595,2603.74720357942,2186.14581685909,1740.5997144217,1109.60144927536,821.2232096184,1213.32927571516,633.174534430489,951.619516195162,1296.20108540417,942.592592592592,871.959942775394,1388.7381275441,2989.96271866934,3575.3956404897,968.494749124854,2268.05904522613,1736.009044658,3561.41275698471,1906.73736743606,1364.50777202073,1753.57710651828,1462.7824019025,1525.85287846482,760.192897851819,1410.15965166909,1937.07713125846,1816.37482252721,2651.06382978723,5689.13290420295,2987.17233686559,4217.63085399449,3442.88736118456,2456.2962962963,5162.615255658,3551.32806891601,296.777296777297,354.870775347913,220.725995316159,517.667844522968,322.359843546284,540.08954008954,220.387243735763,282.148670645686,39.404905508645,68.1818181818182,44.0795159896283,58.6145648312611,41.5704387990762,59.8802395209581,17.7462289263532,102.545454545455,2190.23779724656,1717.43119266055,1025.17162471396,2162.1052631579,1577.68924302789,2078.94736842105,1339.92805755396,1373.13432835821,1997.20670391061,1928.57142857143,1704.96894409938,1533.44768439108,1657.96831314073,1474.12008281574,2063.07821698907,2521.78533475027,350.717079530639,370.165745856354,442.906574394464,353.942652329749,263.020833333333,158.680282796544,139.013452914798,273.913043478261,2743.66616989568,1024.14113277623,3221.72751558326,1784.39425051335,2150.8857666463,2459.54045954046,902.464604090194,2969.35483870968
"ASV_3",8414.52894438138,5563.02357295928,4817.85925487877,7447.7119873401,6163.04816678648,8516.49888143177,6831.72544678159,7473.26669839759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.7289879931389,41.0065237651445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_4",199.772985244041,181.765049678551,154.050857480781,266.780957404721,243.421998562185,131.711409395973,218.408983077653,299.539901634142,383.454106280193,169.367485624673,216.981132075472,644.867908185362,332.923329233292,309.340188517566,220.37037037037,437.410586552217,822.930800542741,1040.43590478922,1115.55688265154,497.08284714119,3649.49748743719,594.686263425664,1385.60885608856,1374.29819089208,524.870466321243,543.98516163222,421.403091557669,537.046908315565,376.150811047786,303.628447024673,453.766350924673,533.364884051112,2804.25531914894,5053.01022340023,7955.93976575572,2336.08815426997,14810.4177683765,1925.92592592593,4185.66638725901,10079.6841349605,4274.65127465127,2426.44135188867,1882.90398126464,2129.41696113074,11986.6362451108,3466.01546601547,2365.03416856492,2415.62669560499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.3167701863354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.34283170080142,0,0,0,0,0
"ASV_5",0,0,0,0,0,0,0,0,12728.5628019324,6682.17459487716,6202.3737066342,20440.4504114335,10384.9938499385,10455.2984861468,6491.66666666667,14256.0801144492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.87734668335419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.60756192959583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_6",141.657207718502,225.988700564972,317.563571850976,159.435579585916,230.19410496046,261.744966442953,236.122093942749,160.399809614469,2078.80434782609,1761.63094615787,2349.36092513694,1391.94456474664,1947.51947519475,2481.29105969723,1381.48148148148,1856.93848354793,825.644504748982,1178.3768282191,2124.5147805315,505.250875145858,1136.4635678392,1123.79875635953,2192.93621507644,1230.19338739863,2352.33160621762,2967.40858505564,2587.39595719382,2879.53091684435,1914.51117930732,2590.42089985486,3621.3351375733,3413.8665404638,790.425531914894,1432.03332071185,922.476296709426,1401.51515151515,1080.38075092544,714.074074074074,1799.66471081308,1050.96913137114,531.505531505532,374.254473161034,340.16393442623,451.413427561838,414.928292046936,558.811558811559,474.9430523918,303.309820944113,67.1491757137113,81.4393939393939,150.388936905791,75.4884547069272,88.5296381832179,30.644593166608,0,34.9090909090909,805.381727158949,532.110091743119,480.549199084668,465.263157894737,478.08764940239,648.606811145511,483.812949640288,416.252072968491,1184.35754189944,1887.39495798319,1081.78053830228,2595.19725557461,2143.52283317801,1465.83850931677,1671.15222876367,2004.25079702444,550.19556714472,935.082872928177,676.470588235294,994.623655913978,875,1282.01099764336,473.094170403587,798.550724637681,1433.68107302534,341.689879294336,1680.32056990205,806.981519507187,1486.86621869273,1286.71328671329,177.766124803356,2209.67741935484
"ASV_7",0,0,0,0,0,0,0,0,2278.68357487923,1643.49189754313,1567.86366402921,1389.77912516241,1825.33825338253,2005.14138817481,1603.24074074074,1593.34763948498,86.8385345997286,91.7694293088615,227.829202747089,65.3442240373396,25.4396984924623,97.7953646127756,260.674749604639,60.8234560199626,0,10.863804981452,0,0,8.76808417360807,8.41799709724238,0,7.57217226691907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.2899075190993,0,0,21.3143872113677,32.3325635103926,29.2356463543501,12.4223602484472,0,174.59324155194,80.7339449541284,84.6681922196796,149.473684210526,45.8167330677291,204.334365325077,16.1870503597122,43.1177446102819,8541.89944134078,11438.6554621849,12468.9440993789,11423.6706689537,11796.8313140727,15311.5942028986,15646.7619848612,15467.5876726886,0,0,0,0,0,0,0,0,64.0834575260805,0,0,4.10677618069815,0,206.793206793207,0,312.903225806452
"ASV_8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,911.702127659575,2324.87694055282,1109.87172336866,1652.89256198347,1312.53305129561,1096.2962962963,2279.128248114,1502.51256281407,4671.95767195767,4053.18091451292,3679.15690866511,4843.63957597173,4261.08213820078,5036.22303622304,3742.59681093394,3417.79706999457,2747.08484117411,1590.90909090909,2076.05877268799,2641.20781527531,1826.78983833718,2626.62909475167,1645.07542147294,2354.18181818182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_9",0,0,0,0,0,0,0,0,119.263285024155,66.3878724516466,113.207547169811,81.4205283672585,164.821648216482,123.678948871751,74.0740740740741,214.234620886981,0,0,0,0,0,2.26116449971735,0,0,1330.82901554404,1310.2808691044,1084.89892984542,1368.3368869936,1032.88031565103,1249.63715529753,1522.77852954443,1540.70042593469,23.4042553191489,0,11.154489682097,0,0,0,0,0,741.702741702742,506.461232604374,335.480093676815,433.745583038869,481.42112125163,402.930402930403,376.993166287016,331.524688008681,7100.12062726176,2537.87878787879,6114.08815903198,3095.91474245115,5227.09776751347,4799.92955265939,3669.92014196983,8168,0,0,0,0,27.8884462151394,0,0,0,917.597765363128,585.714285714286,600.414078674948,627.78730703259,1095.0605778192,993.788819875776,649.285113540791,555.791710945802,0,8.28729281767956,0,0,0,0,0,0,0,0,0,0,0,0,0,52.4193548387097
"ASV_10",64.9262202043133,95.2659263588545,80.4257835600236,112.488461031254,98.2027318475917,94.2393736017897,62.9448046813222,75.3609392352848,449.275362318841,276.529012023001,293.365794278758,331.745344304894,309.143091430914,480.148528991717,340.277777777778,338.340486409156,1050.88195386703,1776.59879552624,2451.47805315019,733.663943990665,1535.33291457286,1576.59694742793,2493.93779652082,1995.63318777293,699.740932642487,1005.56438791733,811.890606420927,721.481876332623,611.573871109163,795.645863570392,1202.75146594497,1073.59204921912,708.510638297872,1585.00567966679,866.70384829894,794.765840220386,760.973030142782,715.555555555556,1002.51466890193,799.712849964106,383.838383838384,415.009940357853,245.316159250585,278.268551236749,404.172099087353,510.785510785511,539.863325740319,283.776451437873,224.768797748291,53.030303030303,108.038029386344,46.1811722912966,96.2278675904542,73.9697076435365,39.9290150842946,79.2727272727273,0,0,0,78.9473684210526,105.577689243028,36.3777089783282,3.59712230215827,38.1426202321725,23.7430167597765,0,0,126.929674099485,0,0,0,0,0,0,0,0,0,0,0,0,144.560357675112,17.6415970287837,289.40338379341,211.498973305955,149.053145998778,277.722277722278,27.7923439958049,0
