"EUK.BLANK-2","EUK.BLANK-3","EUK.BLANK-4","EUK.BLANK-5","EUK.BLANK-7","EUK.BLANK-8","EUK.ExrNTC-1","EUK.ExrNTC-3","EUK.ExrNTC-4","EUK.ExrNTC-5","EUK.ExrNTC-6","EUK.ExrNTC-7","EUK.ExrNTC-8","EUK.ExrPTC-1","EUK.ExrPTC-2","EUK.ExrPTC-3","EUK.ExrPTC-4","EUK.ExrPTC-5","EUK.ExrPTC-6","EUK.ExrPTC-7","EUK.ExrPTC-8","EUK.LH-MD9-0000-1","EUK.LH-MD9-0000-2","EUK.LH-MD9-0000-3","EUK.LH-MD9-0000-4","EUK.LH-MD9-0000-5","EUK.LH-MD9-0000-6","EUK.LH-MD9-0000-7","EUK.LH-MD9-0000-8","EUK.LH-MD9-0250-1","EUK.LH-MD9-0250-2","EUK.LH-MD9-0250-3","EUK.LH-MD9-0250-4","EUK.LH-MD9-0250-5","EUK.LH-MD9-0250-6","EUK.LH-MD9-0250-7","EUK.LH-MD9-0250-8","EUK.LH-MD9-0450-1","EUK.LH-MD9-0450-2","EUK.LH-MD9-0450-3","EUK.LH-MD9-0450-4","EUK.LH-MD9-0450-5","EUK.LH-MD9-0450-6","EUK.LH-MD9-0450-7","EUK.LH-MD9-0450-8","EUK.LH-MD9-0700-1","EUK.LH-MD9-0700-2","EUK.LH-MD9-0700-3","EUK.LH-MD9-0700-4","EUK.LH-MD9-0700-5","EUK.LH-MD9-0700-6","EUK.LH-MD9-0700-7","EUK.LH-MD9-0700-8","EUK.LH-MD9-0900-1","EUK.LH-MD9-0900-2","EUK.LH-MD9-0900-3","EUK.LH-MD9-0900-4","EUK.LH-MD9-0900-5","EUK.LH-MD9-0900-6","EUK.LH-MD9-0900-7","EUK.LH-MD9-0900-8","EUK.LH-MD9-1150-1","EUK.LH-MD9-1150-2","EUK.LH-MD9-1150-3","EUK.LH-MD9-1150-4","EUK.LH-MD9-1150-5","EUK.LH-MD9-1150-6","EUK.LH-MD9-1150-7","EUK.LH-MD9-1150-8","EUK.NM-MD9-1849-1","EUK.NM-MD9-1849-2","EUK.NM-MD9-1849-3","EUK.NM-MD9-1849-4","EUK.NM-MD9-1849-5","EUK.NM-MD9-1849-6","EUK.NM-MD9-1849-7","EUK.NM-MD9-1849-8","EUK.NM-MD9-2050-1","EUK.NM-MD9-2050-2","EUK.NM-MD9-2050-3","EUK.NM-MD9-2050-4","EUK.NM-MD9-2050-5","EUK.NM-MD9-2050-6","EUK.NM-MD9-2050-7","EUK.NM-MD9-2050-8","EUK.NM-MD9-2250-1","EUK.NM-MD9-2250-2","EUK.NM-MD9-2250-3","EUK.NM-MD9-2250-4","EUK.NM-MD9-2250-5","EUK.NM-MD9-2250-6","EUK.NM-MD9-2250-7","EUK.NM-MD9-2250-8","EUK.NM-MD9-2450-1","EUK.NM-MD9-2450-2","EUK.NM-MD9-2450-3","EUK.NM-MD9-2450-4","EUK.NM-MD9-2450-5","EUK.NM-MD9-2450-6","EUK.NM-MD9-2450-7","EUK.NM-MD9-2450-8","EUK.NM-MD9-2650-1","EUK.NM-MD9-2650-2","EUK.NM-MD9-2650-3","EUK.NM-MD9-2650-4","EUK.NM-MD9-2650-5","EUK.NM-MD9-2650-6","EUK.NM-MD9-2650-7","EUK.NM-MD9-2650-8","EUK.TubNTC-1","EUK.TubNTC-2","EUK.TubNTC-3","EUK.TubNTC-4","EUK.TubNTC-5","EUK.TubNTC-6","EUK.BLANK-1"
"ASV_1",0,0,0,0,0,1,0,0,0,0,0,0,0,10,0,0,58,0,0,0,23,0,0,27,0,1,4,0,0,0,0,0,1,0,0,1,0,2,0,0,0,2,0,2,0,2,0,1,0,1,1,2,4,0,4,1,19,12,5,2,4,10,3,6,4,9,6,4,10,6744,1019,2097,2374,2055,7038,1502,3582,31485,7977,5678,18064,5907,19831,7492,6604,13343,26837,23573,13674,22476,25109,33931,29830,9955,7480,6023,18851,8885,21523,6731,10205,632,460,1589,364,2767,2713,691,1328,0,0,0,0,0,0,0
"ASV_2",0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,1,4,0,0,0,0,7922,12920,9262,19016,13972,9311,13823,10971,3675,1571,3987,1462,2321,4538,2036,2438,2047,10426,11974,3320,14443,3071,13512,6113,5267,6618,6151,5725,1734,4858,8589,7676,2492,15025,5356,6124,13021,1658,12318,9894,617,714,377,1172,989,1327,387,520,98,36,51,66,54,170,20,141,3500,936,448,2054,792,2686,745,828,1430,2295,1647,894,1779,1424,2453,2373,269,268,256,395,202,202,124,189,1841,1103,3618,869,3521,2462,1721,3682,0,0,0,0,0,0,0
"ASV_3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37066,28555,16294,56476,42864,30455,43197,47104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_4",0,0,0,0,0,0,0,0,0,0,2,0,0,11,30,404,10,14,15,44,50,880,933,521,2023,1693,471,1381,1888,1270,324,713,1489,812,1083,476,1223,1213,3628,3736,1704,23240,1052,5257,4406,2026,2053,1772,2015,858,1046,2012,2254,2636,13345,14265,3392,56013,1300,9987,28082,8887,4882,3216,4821,36775,8516,4153,4452,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0
"ASV_5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,42157,12783,20381,47197,25329,36604,14022,39860,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,624,1160,1074,1209,1601,936,1493,1011,6885,3370,7720,3214,4750,8687,2984,5192,1217,4109,7115,1732,7237,1988,8320,3944,9080,11199,10880,10804,4367,8924,16057,14427,743,3782,1654,2035,4086,482,4294,2928,1105,753,581,1022,1273,1373,834,559,167,43,174,85,115,87,0,48,1287,290,210,442,240,838,269,251,848,2246,1045,1513,2300,1416,1987,1886,422,677,391,1110,672,1632,422,551,962,368,1887,393,2434,1288,339,2740,0,0,0,0,0,0,0
"ASV_7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7547,3144,5152,3209,4452,7020,3463,4455,128,320,763,224,162,173,989,195,0,41,0,0,20,29,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,24,42,83,14,0,279,44,37,142,23,264,9,26,6116,13612,12045,6660,12658,14791,18604,14555,0,0,0,0,0,0,0,0,43,0,0,2,0,207,0,388,0,0,0,0,0,0,0
"ASV_8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,857,6140,1990,2400,4964,740,5438,4186,9713,8155,6284,10966,13073,12374,6572,6299,6832,840,2402,2974,2373,7457,1854,3237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,395,127,372,188,402,433,160,599,0,0,0,0,0,4,0,0,5137,4945,4562,5134,2356,4305,6752,6511,22,0,20,0,0,0,0,0,1542,1019,573,982,1477,990,662,611,17658,1340,7074,3486,6790,13627,4136,11231,0,0,0,0,14,0,0,0,657,697,580,366,1175,960,772,523,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0
"ASV_10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,286,489,272,853,683,337,398,475,1488,529,964,766,754,1681,735,946,1549,6195,8210,2515,9777,2789,9462,6398,2701,3795,3414,2707,1395,2741,5333,4537,666,4186,1554,1154,2878,483,2392,2228,798,835,419,630,1240,1255,948,523,559,28,125,52,125,210,45,109,0,0,0,75,53,47,2,23,17,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,97,19,325,103,244,278,53,0,0,0,0,0,0,0,0
