,EUK.BLANK.2,EUK.BLANK.3,EUK.BLANK.4,EUK.BLANK.5,EUK.BLANK.7,EUK.BLANK.8,EUK.ExrNTC.1,EUK.ExrNTC.3,EUK.ExrNTC.4,EUK.ExrNTC.5,EUK.ExrNTC.6,EUK.ExrNTC.7,EUK.ExrNTC.8,EUK.TubNTC.1,EUK.TubNTC.2,EUK.TubNTC.3,EUK.TubNTC.4,EUK.TubNTC.5,EUK.TubNTC.6,EUK.BLANK.1,OTU,assignmentQual,taxID,superkingdom,phylum,class,order,family,genus,species,Sum
ASV_1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_1,High-MH,None,Eukaryota,NA,NA,NA,NA,NA,NA,1
ASV_2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_2,Low,637492,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Metschnikowiaceae,Metschnikowia,Metschnikowia sp. JJW-2009a,1
ASV_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_3,Low,361426,Eukaryota,Cercozoa,Thecofilosea,,Ebriacea,Ebria,Ebria tripartita,0
ASV_4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,ASV_4,High-MH,None,Bacteria,Pseudomonadota,Alphaproteobacteria,NA,NA,NA,NA,2
ASV_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_5,High,200624,Bacteria,Pseudomonadota,Gammaproteobacteria,Chromatiales,Thioalkalispiraceae,Thioalkalispira,Thioalkalispira microaerophila,0
ASV_6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_6,Low,2041829,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,Thalassiosira sp. RCC4858,0
ASV_7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_7,High-MH,None,Eukaryota,NA,NA,NA,NA,NA,NA,0
ASV_8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_8,High,863577,Eukaryota,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Exophiala,Exophiala equina,0
ASV_9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_9,Low,2711279,Eukaryota,Apicomplexa,Conoidasida,Eugregarinorida,Cephaloidophoridae,Cephaloidophora,Cephaloidophora bipinnatae,0
ASV_10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_10,Low,2805718,Eukaryota,,,,,,Stramenopiles sp. MAST-1C-sp1,0
ASV_11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_11,Low,1982027,Eukaryota,Ciliophora,Prostomatea,Prorodontida,Plagiocampidae,Plagiocampa,Plagiocampa sp.,0
ASV_12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_12,Low,2026739,Archaea,Euryarchaeota,,,,,Euryarchaeota archaeon,0
ASV_13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_13,Low,136459,Eukaryota,Tubulinea,Elardia,Leptomyxida,Flabellulidae,Paraflabellula,Paraflabellula hoguae,0
ASV_14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_14,High-MH,None,Bacteria,NA,NA,NA,NA,NA,NA,0
ASV_15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_15,Low,2829680,Bacteria,,,,,,bacterium SCSIO 12827,1
ASV_16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_16,Low,2059681,Eukaryota,Basidiomycota,Agaricomycetes,Agaricales,Inocybaceae,Auritella,Auritella spiculosa,0
ASV_17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_17,Low,238836,Bacteria,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,Shewanella donghaensis,0
ASV_18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_18,High-MH,None,Eukaryota,Bacillariophyta,NA,NA,NA,NA,NA,0
ASV_19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_19,Low,1527793,Eukaryota,,Dinophyceae,Coccidiniales,Chytriodiniaceae,Chytriodinium,Chytriodinium sp. Atlantic,0
ASV_20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASV_20,Low,262243,Eukaryota,Endomyxa,Ascetosporea,Haplosporida,,,Haplosporidian parasite of Pandalus platyceros,0
