"","LH-MD9-0000","LH-MD9-0250","LH-MD9-0450","LH-MD9-0700","LH-MD9-0900","LH-MD9-1150","NM-MD9-1849","NM-MD9-2050","NM-MD9-2250","NM-MD9-2450","NM-MD9-2650"
"Aaosphaeria",0,6,1,0,0,0,0,2,0,0,1
"Abies",0,1,0,0,1,6,0,5,3,0,2
"Abiotrophia",0,0,0,0,0,0,0,0,0,1,2
"Abra",0,0,0,0,0,0,0,0,0,0,2
"Abrostola",0,0,1,5,0,2,1,3,0,2,0
"Abrus",0,0,1,0,0,1,2,4,5,11,5
"Abutilon",0,0,0,0,0,0,0,0,1,0,0
"Abyssalbus",0,0,1,1,0,0,0,1,1,2,3
"Abyssicoccus",0,0,1,1,0,2,0,4,0,3,1
"Acanthamoeba",4,1,0,3,0,4,3,0,6,1,3
"Acanthaster",0,2,2,1,0,0,0,0,1,3,3
"Acanthisitta",0,2,0,0,0,0,1,0,0,3,2
"Acanthoceras",0,0,1,1,1,0,0,1,2,4,2
"Acanthochromis",0,1,1,2,0,1,0,0,5,4,7
"Acanthopagrus",1,0,1,4,1,4,1,0,4,2,2
"Acanthostaurus",0,1,0,3,1,0,0,1,3,1,1
"Acaromyces",0,0,0,0,0,0,0,0,0,2,1
"Acartia",0,2,0,0,2,0,2,1,5,4,2
"Acaryochloris",2,0,2,0,0,2,1,1,0,1,3
"Acavomonas",0,0,0,1,0,0,0,0,0,1,1
"Accipiter",0,0,0,2,2,1,0,1,5,3,0
"Acentria",0,2,2,2,1,2,2,0,0,2,0
"Acer",0,0,0,1,18,9,0,17,5,9,2
"Acetabularia",0,0,0,0,0,0,0,0,0,3,0
"Acetivibrio",2,3,3,0,1,3,0,6,5,3,0
"Acetoanaerobium",0,0,0,0,0,0,0,0,0,2,1
"Acetobacter",15,11,7,12,4,6,2,5,7,18,6
"Acetobacterium",1,1,0,2,2,1,4,1,0,5,2
"Acetohalobium",0,0,0,0,0,0,1,0,3,3,0
"Acetomicrobium",0,0,1,0,0,0,0,1,1,0,0
"Achillea",0,0,0,0,0,0,0,0,0,1,0
"Achnanthidium",0,0,0,0,0,0,0,0,0,0,1
"Acholeplasma",0,0,1,0,0,1,4,1,1,0,2
"Achromobacter",62,17,24,19,17,22,8,10,50,33,43
"Acidaminococcus",1,0,0,1,0,1,0,0,1,1,0
"Acidianus",0,0,0,0,0,0,0,0,0,3,0
"Acidibrevibacterium",40,20,10,16,4,7,2,0,2,17,6
"Acididesulfobacillus",1,1,0,0,1,1,0,4,2,9,2
"Acidiferrobacter",7,1,7,2,0,1,1,1,4,8,8
"Acidihalobacter",37,18,14,15,7,9,8,11,234,20,11
"Acidilobus",1,0,0,0,0,0,0,0,0,0,0
"Acidimicrobium",3,0,1,2,1,4,1,5,0,4,3
"Acidiphilium",16,6,7,0,4,1,1,3,2,3,4
"Acidipropionibacterium",4,1,3,1,5,4,0,37,14,10,11
"Acidisarcina",2,1,2,3,1,2,0,2,1,3,2
"Acidithiobacillus",16,5,5,7,10,13,5,10,20,26,10
"Acidobacterium",2,1,2,1,1,1,1,0,1,2,1
"Acidocella",0,0,0,0,0,0,0,0,1,0,0
"Acidomonas",1,0,0,0,0,0,1,0,0,0,1
"Acidothermus",1,2,2,0,1,2,0,1,1,0,0
"Acidovorax",52,16,11,16,9,15,11,13,37,41,24
"Aciduliprofundum",0,1,0,0,0,0,0,1,0,0,0
"Acinetobacter",19,18,38,47,31,44,94,46,143,94,103
"Acinonyx",0,1,0,0,0,1,0,2,3,4,7
"Acipenser",2,5,6,4,10,4,6,8,10,16,15
