"","EUK.BLANK","EUK.ExrNTC","EUK.ExrPTC","EUK.LH.MD9.0000","EUK.LH.MD9.0250","EUK.LH.MD9.0450","EUK.LH.MD9.0700","EUK.LH.MD9.0900","EUK.LH.MD9.1150","EUK.NM.MD9.1849","EUK.NM.MD9.2050","EUK.NM.MD9.2250","EUK.NM.MD9.2450","EUK.NM.MD9.2650","EUK.TubNTC","OTU","assignmentQual","taxID","superkingdom","phylum","class","order","family","genus","species"
"ASV_1",1,0,3,3,2,3,6,7,8,8,8,8,8,8,0,"ASV_1","High","9606","Eukaryota","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"ASV_2",1,0,4,8,8,8,8,8,8,8,8,8,8,8,0,"ASV_2","High-MH","None","Eukaryota",NA,NA,NA,NA,NA,NA
"ASV_3",0,0,0,8,0,0,0,0,0,0,0,2,0,0,0,"ASV_3","Low","637492","Eukaryota","Ascomycota","Saccharomycetes","Saccharomycetales","Metschnikowiaceae","Metschnikowia","Metschnikowia sp. JJW-2009a"
"ASV_4",0,1,8,8,8,8,8,8,8,3,0,2,1,2,0,"ASV_4","Low","361426","Eukaryota","Cercozoa","Thecofilosea","","Ebriacea","Ebria","Ebria tripartita"
"ASV_5",0,0,0,1,8,1,0,0,0,0,1,0,1,0,0,"ASV_5","High-MH","None","Bacteria","Pseudomonadota","Alphaproteobacteria",NA,NA,NA,NA
"ASV_6",0,0,0,8,8,8,8,8,8,7,8,8,8,8,0,"ASV_6","High","113544","Eukaryota","Chordata","Actinopteri","Osteoglossiformes","Osteoglossidae","Arapaima","Arapaima gigas"
"ASV_7",0,0,0,0,8,8,4,0,0,5,8,8,0,4,0,"ASV_7","High","200624","Bacteria","Pseudomonadota","Gammaproteobacteria","Chromatiales","Thioalkalispiraceae","Thioalkalispira","Thioalkalispira microaerophila"
"ASV_8",0,0,0,0,0,0,0,8,8,8,0,0,0,0,0,"ASV_8","Low","2041829","Eukaryota","Bacillariophyta","Coscinodiscophyceae","Thalassiosirales","Thalassiosiraceae","Thalassiosira","Thalassiosira sp. RCC4858"
"ASV_9",0,0,0,0,8,1,8,2,8,8,1,8,1,1,0,"ASV_9","High-MH","None","Eukaryota","Chordata","Actinopteri","Cypriniformes","Cyprinidae",NA,NA
"ASV_10",0,0,0,8,8,8,8,8,8,8,5,2,0,7,0,"ASV_10","High-MH","None","Eukaryota",NA,NA,NA,NA,NA,NA
