"","EUK.BLANK.2","EUK.BLANK.3","EUK.BLANK.4","EUK.BLANK.5","EUK.BLANK.7","EUK.BLANK.8","EUK.ExrNTC.1","EUK.ExrNTC.3","EUK.ExrNTC.4","EUK.ExrNTC.5","EUK.ExrNTC.6","EUK.ExrNTC.7","EUK.ExrNTC.8","EUK.ExrPTC.1","EUK.ExrPTC.2","EUK.ExrPTC.3","EUK.ExrPTC.4","EUK.ExrPTC.5","EUK.ExrPTC.6","EUK.ExrPTC.7","EUK.ExrPTC.8","EUK.LH.MD9.0000.1","EUK.LH.MD9.0000.2","EUK.LH.MD9.0000.3","EUK.LH.MD9.0000.4","EUK.LH.MD9.0000.5","EUK.LH.MD9.0000.6","EUK.LH.MD9.0000.7","EUK.LH.MD9.0000.8","EUK.LH.MD9.0250.1","EUK.LH.MD9.0250.2","EUK.LH.MD9.0250.3","EUK.LH.MD9.0250.4","EUK.LH.MD9.0250.5","EUK.LH.MD9.0250.6","EUK.LH.MD9.0250.7","EUK.LH.MD9.0250.8","EUK.LH.MD9.0450.1","EUK.LH.MD9.0450.2","EUK.LH.MD9.0450.3","EUK.LH.MD9.0450.4","EUK.LH.MD9.0450.5","EUK.LH.MD9.0450.6","EUK.LH.MD9.0450.7","EUK.LH.MD9.0450.8","EUK.LH.MD9.0700.1","EUK.LH.MD9.0700.2","EUK.LH.MD9.0700.3","EUK.LH.MD9.0700.4","EUK.LH.MD9.0700.5","EUK.LH.MD9.0700.6","EUK.LH.MD9.0700.7","EUK.LH.MD9.0700.8","EUK.LH.MD9.0900.1","EUK.LH.MD9.0900.2","EUK.LH.MD9.0900.3","EUK.LH.MD9.0900.4","EUK.LH.MD9.0900.5","EUK.LH.MD9.0900.6","EUK.LH.MD9.0900.7","EUK.LH.MD9.0900.8","EUK.LH.MD9.1150.1","EUK.LH.MD9.1150.2","EUK.LH.MD9.1150.3","EUK.LH.MD9.1150.4","EUK.LH.MD9.1150.5","EUK.LH.MD9.1150.6","EUK.LH.MD9.1150.7","EUK.LH.MD9.1150.8","EUK.NM.MD9.1849.1","EUK.NM.MD9.1849.2","EUK.NM.MD9.1849.3","EUK.NM.MD9.1849.4","EUK.NM.MD9.1849.5","EUK.NM.MD9.1849.6","EUK.NM.MD9.1849.7","EUK.NM.MD9.1849.8","EUK.NM.MD9.2050.1","EUK.NM.MD9.2050.2","EUK.NM.MD9.2050.3","EUK.NM.MD9.2050.4","EUK.NM.MD9.2050.5","EUK.NM.MD9.2050.6","EUK.NM.MD9.2050.7","EUK.NM.MD9.2050.8","EUK.NM.MD9.2250.1","EUK.NM.MD9.2250.2","EUK.NM.MD9.2250.3","EUK.NM.MD9.2250.4","EUK.NM.MD9.2250.5","EUK.NM.MD9.2250.6","EUK.NM.MD9.2250.7","EUK.NM.MD9.2250.8","EUK.NM.MD9.2450.1","EUK.NM.MD9.2450.2","EUK.NM.MD9.2450.3","EUK.NM.MD9.2450.4","EUK.NM.MD9.2450.5","EUK.NM.MD9.2450.6","EUK.NM.MD9.2450.7","EUK.NM.MD9.2450.8","EUK.NM.MD9.2650.1","EUK.NM.MD9.2650.2","EUK.NM.MD9.2650.3","EUK.NM.MD9.2650.4","EUK.NM.MD9.2650.5","EUK.NM.MD9.2650.6","EUK.NM.MD9.2650.7","EUK.NM.MD9.2650.8","EUK.TubNTC.1","EUK.TubNTC.2","EUK.TubNTC.3","EUK.TubNTC.4","EUK.TubNTC.5","EUK.TubNTC.6","EUK.BLANK.1","OTU","assignmentQual","taxID","superkingdom","phylum","class","order","family","genus","species"
"ASV_11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17834,7080,13741,6467,12190,20220,7597,16145,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,3,0,0,0,0,0,0,1,3,0,0,0,4,0,0,1,6,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28607,1016,2171,1999,4707,26490,2443,4692,0,0,0,1,0,0,0,0,219,256,210,104,471,267,305,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_15",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,51,22,13,70,68,9,38,74,0,0,0,7,1,3,0,0,344,821,914,459,6066,298,1028,1009,7367,7102,6915,7682,3291,4269,8561,8938,44,348,325,81,1031,22,153,529,0,3,0,1,2,0,0,9,0,0,0,0,0,20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_18",0,0,0,0,0,0,0,0,0,0,0,0,0,4189,7075,11682,3618,5670,6255,8774,10556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,19,0,0,0,43,0,21,0,0,0,0,0,0,0,0,94,0,19,0,0,0,0,5075,6961,8040,6469,2809,6009,9585,9163,14,0,0,0,0,0,72,24,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,35,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,"ASV_19","Low","87785","Eukaryota","Chordata","Actinopteri","Atheriniformes","Atherinidae","Atherina","Atherina boyeri"
"ASV_20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3040,4921,3233,7296,4488,3376,5024,3570,1338,677,1305,698,1054,2060,611,1126,0,0,0,0,0,0,0,0,361,145,301,165,76,289,541,469,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ASV_20","Low","2026739","Archaea","Euryarchaeota","","","","","Euryarchaeota archaeon"
"ASV_29",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,208,204,107,545,295,91,366,195,1363,748,1182,564,1138,1369,857,1053,169,960,1090,201,686,314,861,483,464,750,569,841,321,538,1100,623,230,790,435,421,1017,150,860,1254,457,340,123,312,380,205,366,293,39,29,0,30,47,30,45,43,26,0,36,0,17,21,20,10,0,120,124,51,0,2,0,2,114,15,0,134,43,0,22,67,0,24,0,0,115,132,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_33",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,295,318,227,522,421,337,442,325,931,489,1032,523,575,1128,493,779,149,912,941,250,1364,131,653,410,329,510,623,646,239,577,609,404,144,494,236,324,306,81,457,668,166,207,173,169,199,522,148,116,146,47,68,68,57,158,138,53,526,108,148,156,55,359,25,71,79,0,57,103,209,23,97,7,143,94,3,86,52,254,66,115,111,20,164,73,53,241,12,169,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_35",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,81,19,0,37,12,325,178,418,189,315,313,181,393,236,765,725,285,1579,357,1025,685,316,674,483,406,192,247,456,572,130,691,311,430,688,61,464,289,517,272,241,422,647,850,305,276,408,123,192,273,322,493,247,404,145,38,27,125,48,27,104,13,68,371,129,223,284,123,325,321,144,129,104,437,94,487,87,124,0,26,0,91,0,101,45,299,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_36",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,3,0,0,0,202,90,65,68,192,237,77,58,123,765,661,217,822,284,586,626,1131,1727,1215,1286,556,1010,1330,1696,18,0,11,0,0,0,0,62,1158,751,528,1064,1074,1460,1053,617,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,176,107,560,222,630,89,141,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_39",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,2,0,5,61,29,22,94,57,51,32,65,117,304,269,150,2243,95,454,449,806,649,626,705,295,457,896,918,120,473,548,86,1896,46,431,1038,471,175,125,240,1513,303,157,198,1413,39,82,87,250,1182,109,260,348,31,42,60,34,100,39,41,14,79,88,15,53,53,67,57,127,159,31,101,129,155,159,53,88,51,113,8,200,50,112,264,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
