#rname,startpos,endpos,numreads,covbases,coverage,meandepth,meanbaseq,meanmapq
NW_003573426.1,1,94539749,16,757,0.000800721,9.04381e-06,35.9,31.2
NW_003573423.1,1,102905069,13,726,0.000705505,7.58952e-06,36.1,38.1
NW_003573424.1,1,100893473,12,720,0.000713624,8.37517e-06,36.5,33.9
NW_003573431.1,1,67275361,12,569,0.000845778,1.04793e-05,35.1,35.2
NW_003573432.1,1,65937429,9,563,0.00085384,8.5384e-06,36.5,35.3
NW_003573443.1,1,42784276,9,452,0.00105646,1.44679e-05,35.9,33.7
NW_003573437.1,1,50992964,8,514,0.00100798,1.00798e-05,36.5,38.6
NW_003573421.1,1,111286942,7,364,0.000327082,3.27082e-06,36,39.7
NW_003573429.1,1,83325590,7,339,0.000406838,4.06838e-06,36.7,37
NW_003573440.1,1,46401353,7,382,0.000823252,8.23252e-06,36.1,40.4
NW_003573425.1,1,99875478,6,375,0.000375468,3.75468e-06,34.8,27.7
NW_003573446.1,1,35828716,6,382,0.00106618,1.06618e-05,35.9,38.2
NW_003573422.1,1,107953029,5,303,0.000280678,2.80678e-06,36.5,36
NW_003573433.1,1,62548349,5,299,0.00047803,4.7803e-06,36.2,40
NW_003573447.1,1,34889373,5,281,0.000805403,1.20954e-05,35.2,42
NW_003573454.1,1,26798961,5,321,0.00119781,1.19781e-05,36.8,38.4
NW_003573455.1,1,24493012,5,206,0.000841056,1.00029e-05,36.4,34.6
NW_003573430.1,1,69444150,4,261,0.000375842,3.75842e-06,36.5,31.2
NW_003573438.1,1,50675436,4,239,0.000471629,4.71629e-06,36.3,42
NW_003573439.1,1,48870786,4,184,0.000376503,3.76503e-06,36.8,41.5
NW_003573445.1,1,35432990,4,258,0.000728135,7.28135e-06,36.8,41.5
NW_003573448.1,1,34755717,4,234,0.000673271,6.73271e-06,36.5,37.5
NW_003573449.1,1,33571567,4,245,0.000729784,7.29784e-06,36.9,42
NW_003573451.1,1,29745944,4,220,0.000739597,7.39597e-06,36.6,31.5
NW_003573452.1,1,28693119,4,289,0.00100721,1.00721e-05,36.3,40.5
NW_003573471.1,1,16989184,4,267,0.00157159,1.57159e-05,36.2,39.2
NW_003573485.1,1,12789886,4,173,0.00135263,1.97813e-05,36.6,42
NW_003573420.1,1,129759341,3,85,6.55059e-05,6.55059e-07,37,27.7
NW_003573428.1,1,85640724,3,191,0.000223025,2.23025e-06,36.4,33.3
NW_003573441.1,1,45000610,3,119,0.000264441,2.64441e-06,36.4,42
NW_003573450.1,1,30030426,3,107,0.000356305,5.59433e-06,34.2,42
NW_003573458.1,1,23093611,3,143,0.000619219,6.19219e-06,35.6,13.3
NW_003573464.1,1,18956906,3,182,0.000960072,9.60072e-06,36.5,42
NW_003573469.1,1,17734757,3,220,0.0012405,1.2405e-05,36.8,40.3
NW_003573470.1,1,17281581,3,169,0.00097792,9.7792e-06,36.6,41.3
NW_003573473.1,1,15836216,3,149,0.000940881,9.40881e-06,36.2,36
NW_003573427.1,1,93792748,2,99,0.000105552,1.05552e-06,36.6,28
NW_003573435.1,1,55688157,2,99,0.000177776,1.77776e-06,36.6,32.5
NW_003573442.1,1,43346337,2,106,0.000244542,2.44542e-06,36.3,32.5
NW_003573453.1,1,27469976,2,128,0.000465963,4.65963e-06,36.6,33
NW_003573466.1,1,18249980,2,131,0.000717809,7.17809e-06,36,41
NW_003573472.1,1,16100020,2,99,0.000614906,6.14906e-06,33.3,41
NW_003573478.1,1,14585272,2,115,0.000788467,7.88467e-06,36.1,42
NW_003573486.1,1,12366155,2,162,0.00131003,1.31003e-05,35.8,21.5
NW_003573490.1,1,10967514,2,75,0.000683838,6.83838e-06,32.9,33
NW_003573492.1,1,10681847,2,129,0.00120766,1.20766e-05,37,41
NW_003573493.1,1,10670271,2,111,0.00104027,1.04027e-05,36.4,20.5
NW_003573497.1,1,9441971,2,78,0.000826099,8.26099e-06,36.8,33
NW_003573511.1,1,5699455,2,111,0.00194755,1.94755e-05,36.5,41
NW_003573434.1,1,56459253,1,69,0.000122212,1.22212e-06,36.8,40
NW_003573436.1,1,51904812,1,62,0.000119449,1.19449e-06,37,24
NW_003573444.1,1,42373024,1,53,0.00012508,1.2508e-06,36.5,24
NW_003573457.1,1,23257828,1,44,0.000189184,1.89184e-06,37,42
NW_003573459.1,1,22139007,1,47,0.000212295,2.12295e-06,37,42
NW_003573460.1,1,21088812,1,33,0.000156481,1.56481e-06,34.7,42
NW_003573462.1,1,20144005,1,86,0.000426926,4.26926e-06,37,42
NW_003573465.1,1,18364239,1,47,0.000255932,2.55932e-06,36.7,15
NW_003573467.1,1,18382006,1,108,0.000587531,5.87531e-06,36.4,42
NW_003573474.1,1,15682463,1,47,0.000299698,2.99698e-06,36.7,42
NW_003573477.1,1,15506347,1,42,0.000270857,2.70857e-06,36.1,42
NW_003573482.1,1,13396845,1,68,0.000507582,5.07582e-06,33.3,34
NW_003573484.1,1,13306439,1,39,0.000293091,2.93091e-06,37,42
NW_003573487.1,1,12172725,1,48,0.000394324,3.94324e-06,36.8,40
NW_003573489.1,1,11865675,1,135,0.00113774,1.13774e-05,36.6,42
NW_003573499.1,1,8685383,1,32,0.000368435,7.3687e-06,34.2,2
NW_003573500.1,1,8205339,1,54,0.000658108,6.58108e-06,36.8,42
NW_003573501.1,1,7794654,1,67,0.000859563,8.59563e-06,36.4,42
NW_003573504.1,1,6926877,1,46,0.00066408,6.6408e-06,37,40
NW_003573505.1,1,7055517,1,99,0.00140316,1.40316e-05,36.6,26
NW_003573507.1,1,6641774,1,32,0.000481799,4.81799e-06,37,42
NW_003573509.1,1,6067119,1,53,0.000873561,8.73561e-06,37,39
NW_003573517.1,1,5077780,1,65,0.00128009,1.28009e-05,36.8,1
NW_003573520.1,1,5047531,1,51,0.00101039,1.01039e-05,36,40
NW_003573524.1,1,3992700,1,48,0.00120219,1.20219e-05,35.7,38
NW_003573528.1,1,3474990,1,38,0.00109353,1.09353e-05,37,42
NW_003573530.1,1,3547234,1,48,0.00135317,1.35317e-05,36.2,42
